Date,Value,Policy rate
2005-02-28,38.459500000000006,2.0
2005-03-31,38.55652173913043,2.25
2005-04-30,39.515952380952385,2.25
2005-05-31,39.76204545454545,2.25
2005-06-30,40.88681818181818,2.5
2005-07-31,41.65347619047619,2.75
2005-08-31,41.14413043478261,2.75
2005-09-30,41.04363636363637,3.25
2005-10-31,40.898809523809526,3.75
2005-11-30,41.08072727272727,3.75
2005-12-31,41.079772727272726,4.0
2006-01-31,39.68395454545455,4.25
2006-02-28,39.337,4.25
2006-03-31,38.96021739130435,4.5
2006-04-30,38.015499999999996,4.75
2006-05-31,37.94521739130435,4.75
2006-06-30,38.34227272727273,5.0
2006-07-31,37.981904761904765,5.0
2006-08-31,37.60804347826087,5.0
2006-09-30,37.45095238095238,5.0
2006-10-31,37.32863636363636,5.0
2006-11-30,36.547045454545454,5.0
2006-12-31,35.72904761904762,5.0
2007-01-31,35.38956521739131,4.75
2007-02-28,34.808499999999995,4.5
2007-03-31,33.25818181818182,4.5
2007-04-30,33.80571428571429,4.0
2007-05-31,34.18217391304348,3.5
2007-06-30,34.289523809523814,3.5
2007-07-31,32.290454545454544,3.25
2007-08-31,32.67695652173913,3.25
2007-09-30,32.2725,3.25
2007-10-31,32.07826086956521,3.25
2007-11-30,33.10545454545454,3.25
2007-12-31,33.054761904761904,3.25
2008-01-31,32.003478260869564,3.25
2008-02-29,32.15714285714286,3.25
2008-03-31,31.40857142857143,3.25
2008-04-30,31.55659090909091,3.25
2008-05-31,32.022954545454546,3.25
2008-06-30,33.12595238095238,3.25
2008-07-31,33.46478260869566,3.5
2008-08-31,33.78380952380952,3.75
2008-09-30,34.24454545454545,3.75
2008-10-31,34.366956521739134,3.75
2008-11-30,35.035000000000004,3.75
2008-12-31,35.06782608695652,2.75
2009-01-31,35.17,2.0
2009-02-28,35.5615,1.5
2009-03-31,36.084545454545456,1.5
2009-04-30,35.66772727272728,1.25
2009-05-31,34.40880952380952,1.25
2009-06-30,33.86818181818182,1.25
2009-07-31,33.76717391304348,1.25
2009-08-31,33.90904761904762,1.25
2009-09-30,33.83045454545454,1.25
2009-10-31,33.405454545454546,1.25
2009-11-30,33.27214285714286,1.25
2009-12-31,33.21391304347826,1.25
2010-01-31,33.049285714285716,1.25
2010-02-28,33.138999999999996,1.25
2010-03-31,32.53152173913043,1.25
2010-04-30,32.29204545454545,1.25
2010-05-31,32.39809523809524,1.25
2010-06-30,32.45431818181818,1.25
2010-07-31,32.31840909090909,1.5
2010-08-31,31.78590909090909,1.75
2010-09-30,30.845227272727275,1.75
2010-10-31,29.96761904761905,1.75
2010-11-30,29.883409090909087,1.75
2010-12-31,30.11134782608696,2.0
2011-01-31,30.52461904761905,2.25
2011-02-28,30.71225,2.25
2011-03-31,30.36521739130435,2.5
2011-04-30,30.067619047619047,2.75
2011-05-31,30.22772727272727,2.75
2011-06-30,30.500681818181818,3.0
2011-07-31,30.10595238095238,3.25
2011-08-31,29.87534782608696,3.5
2011-09-30,30.4025,3.5
2011-10-31,30.882285714285715,3.5
2011-11-30,30.94668181818182,3.25
2011-12-31,31.167272727272724,3.25
2012-01-31,31.559954545454545,3.0
2012-02-29,30.72657142857143,3.0
2012-03-31,30.689590909090906,3.0
2012-04-30,30.874000000000002,3.0
2012-05-31,31.281913043478262,3.0
2012-06-30,31.614761904761902,3.0
2012-07-31,31.610454545454544,3.0
2012-08-31,31.39521739130435,3.0
2012-09-30,30.978500000000004,3.0
2012-10-31,30.67478260869565,2.75
2012-11-30,30.67772727272727,2.75
2012-12-31,30.61047619047619,2.75
