Date,Value
2/5/2023,34.1940
1/5/2023,34.1300
28/4/2023,34.0860
27/4/2023,34.1300
26/4/2023,34.3100
25/4/2023,34.2900
24/4/2023,34.3470
21/4/2023,34.3000
20/4/2023,34.4210
19/4/2023,34.2800
18/4/2023,34.4850
17/4/2023,34.3400
14/4/2023,34.0010
13/4/2023,34.1220
12/4/2023,34.2700
11/4/2023,34.3600
10/4/2023,34.1700
7/4/2023,34.1200
6/4/2023,33.9400
5/4/2023,34.0100
4/4/2023,34.2000
3/4/2023,34.2800
31/3/2023,34.1150
30/3/2023,34.1700
29/3/2023,34.2300
28/3/2023,34.4100
27/3/2023,34.1900
24/3/2023,34.0300
23/3/2023,34.2100
22/3/2023,34.4130
21/3/2023,34.0360
20/3/2023,34.0580
17/3/2023,34.4300
16/3/2023,34.5600
15/3/2023,34.5420
14/3/2023,34.5200
13/3/2023,34.5850
10/3/2023,35.0000
9/3/2023,35.0430
8/3/2023,35.0540
7/3/2023,34.4330
6/3/2023,34.5330
3/3/2023,34.8200
2/3/2023,34.6880
1/3/2023,35.2110
28/2/2023,34.9900
27/2/2023,34.9390
24/2/2023,34.7120
23/2/2023,34.6500
22/2/2023,34.6500
21/2/2023,34.3860
20/2/2023,34.4170
17/2/2023,34.4000
16/2/2023,34.2590
15/2/2023,33.8500
14/2/2023,33.7900
13/2/2023,33.3280
10/2/2023,33.5600
9/2/2023,33.4850
8/2/2023,33.5060
7/2/2023,33.7500
6/2/2023,33.5310
3/2/2023,33.0500
2/2/2023,32.7220
1/2/2023,32.8650
31/1/2023,32.7600
30/1/2023,32.7650
27/1/2023,32.7800
26/1/2023,32.7310
25/1/2023,32.7700
24/1/2023,32.7100
23/1/2023,32.7130
20/1/2023,32.8800
19/1/2023,33.0000
18/1/2023,33.0000
17/1/2023,33.0200
16/1/2023,32.8760
13/1/2023,33.1020
12/1/2023,33.3620
11/1/2023,33.4500
10/1/2023,33.4170
9/1/2023,33.6280
6/1/2023,34.0400
5/1/2023,33.8880
4/1/2023,34.3800
3/1/2023,34.4900
2/1/2023,34.4430
30/12/2022,34.5800
29/12/2022,34.7000
28/12/2022,34.6200
27/12/2022,34.6600
26/12/2022,34.6090
23/12/2022,34.8300
22/12/2022,34.6500
21/12/2022,34.6600
20/12/2022,34.8400
19/12/2022,34.8200
16/12/2022,35.0840
15/12/2022,34.5200
14/12/2022,34.5900
13/12/2022,34.8400
12/12/2022,34.7080
9/12/2022,34.7300
8/12/2022,34.9000
7/12/2022,35.0370
6/12/2022,35.0400
5/12/2022,34.6700
2/12/2022,34.7900
1/12/2022,35.0700
30/11/2022,35.4170
29/11/2022,35.7840
28/11/2022,35.9560
25/11/2022,35.7800
24/11/2022,35.9800
23/11/2022,36.0900
22/11/2022,36.2900
21/11/2022,35.7550
18/11/2022,35.8400
17/11/2022,35.8020
16/11/2022,35.5430
15/11/2022,35.6840
14/11/2022,36.0180
11/11/2022,36.1600
10/11/2022,36.8600
9/11/2022,36.9100
8/11/2022,37.3000
7/11/2022,37.4330
4/11/2022,38.0120
3/11/2022,37.8330
2/11/2022,37.7070
1/11/2022,38.0600
31/10/2022,37.8680
28/10/2022,37.7900
27/10/2022,37.7000
26/10/2022,37.9500
